id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '22:20:00'}",-0.37,2.66,-2.63,3.76,97.86,-44.42,4.72,408.4,57707.0
"{'date': '2019-11-05', 'time': '22:21:00'}",-0.36,2.67,-2.39,3.6,97.67,-41.55,4.6,395.3,41627.0
"{'date': '2019-11-05', 'time': '22:22:00'}",-0.23,2.43,-2.49,3.49,95.38,-45.52,5.4,432.8,98168.0
"{'date': '2019-11-05', 'time': '22:23:00'}",-0.44,2.38,-2.58,3.54,100.41,-46.89,6.14,425.3,75961.0
"{'date': '2019-11-05', 'time': '22:24:00'}",-0.3,2.23,-2.63,3.47,97.71,-49.45,5.17,414.3,58379.0
"{'date': '2019-11-05', 'time': '22:25:00'}",-0.74,2.34,-2.43,3.46,107.58,-44.71,6.4,428.8,100350.0
"{'date': '2019-11-05', 'time': '22:26:00'}",-0.63,2.52,-2.41,3.54,104.02,-42.89,6.11,419.8,79032.0
"{'date': '2019-11-05', 'time': '22:27:00'}",-0.51,2.56,-2.6,3.68,101.37,-44.9,3.41,404.4,45205.0
"{'date': '2019-11-05', 'time': '22:28:00'}",-0.5,2.6,-2.57,3.69,100.98,-44.13,4.62,410.6,51273.0
"{'date': '2019-11-05', 'time': '22:29:00'}",-0.84,2.63,-2.26,3.57,107.67,-39.31,6.16,419.4,67679.0
"{'date': '2019-11-05', 'time': '22:30:00'}",-0.08,1.88,-2.62,3.22,92.56,-54.38,3.57,409.3,50217.0
"{'date': '2019-11-05', 'time': '22:31:00'}",-0.52,2.44,-2.15,3.29,102.06,-40.71,4.68,414.8,58428.0
"{'date': '2019-11-05', 'time': '22:32:00'}",-0.46,2.38,-2.17,3.25,100.98,-41.78,6.21,419.9,67316.0
"{'date': '2019-11-05', 'time': '22:33:00'}",-0.57,2.3,-1.99,3.09,103.98,-40.09,4.72,411.5,53265.0
"{'date': '2019-11-05', 'time': '22:34:00'}",-0.48,2.33,-2.01,3.11,101.63,-40.26,4.7,411.6,54848.0
"{'date': '2019-11-05', 'time': '22:35:00'}",-0.12,2.02,-2.61,3.3,93.35,-52.28,6.13,419.6,66692.0
"{'date': '2019-11-05', 'time': '22:36:00'}",0.15,1.77,-2.72,3.25,85.02,-56.9,4.99,416.9,51912.0
"{'date': '2019-11-05', 'time': '22:37:00'}",0.59,1.41,-2.9,3.28,67.26,-62.11,4.46,415.0,47235.0
"{'date': '2019-11-05', 'time': '22:38:00'}",0.56,0.86,-2.84,3.02,56.87,-70.12,4.66,416.6,51721.0
"{'date': '2019-11-05', 'time': '22:39:00'}",-0.31,1.69,-1.21,2.1,100.42,-35.09,5.85,421.3,60786.0
"{'date': '2019-11-05', 'time': '22:40:00'}",-1.7,3.02,0.94,3.59,119.46,15.22,4.76,416.9,60229.0
"{'date': '2019-11-05', 'time': '22:41:00'}",-1.63,3.11,0.52,3.55,117.61,8.46,2.36,398.5,32626.0
"{'date': '2019-11-05', 'time': '22:42:00'}",-1.33,3.13,0.62,3.46,113.03,10.37,5.75,419.7,75042.0
"{'date': '2019-11-05', 'time': '22:43:00'}",-1.09,3.05,-0.6,3.29,109.69,-10.5,5.33,416.9,66535.0
"{'date': '2019-11-05', 'time': '22:44:00'}",-1.24,2.83,-1.37,3.38,113.6,-23.88,5.04,415.2,62153.0
"{'date': '2019-11-05', 'time': '22:45:00'}",-1.13,2.92,-1.38,3.42,111.08,-23.77,5.74,419.9,78255.0
"{'date': '2019-11-05', 'time': '22:46:00'}",-1.12,2.15,-1.83,3.03,117.52,-37.13,6.14,422.5,80038.0
"{'date': '2019-11-05', 'time': '22:47:00'}",-1.43,0.96,-2.51,3.04,146.07,-55.62,6.19,422.9,76945.0
"{'date': '2019-11-05', 'time': '22:48:00'}",-1.46,0.25,-2.58,2.98,170.17,-60.16,3.68,383.6,17570.0
"{'date': '2019-11-05', 'time': '22:49:00'}",-1.51,1.27,-2.43,3.13,139.76,-50.96,4.74,403.6,54931.0
"{'date': '2019-11-05', 'time': '22:50:00'}",-1.47,2.1,-2.54,3.61,125.06,-44.7,5.6,419.7,81610.0
"{'date': '2019-11-05', 'time': '22:51:00'}",-1.43,2.31,-2.28,3.55,121.76,-40.1,4.88,408.8,55330.0
"{'date': '2019-11-05', 'time': '22:52:00'}",-1.37,2.09,-2.33,3.42,123.26,-43.04,5.55,423.6,83881.0
"{'date': '2019-11-05', 'time': '22:53:00'}",-1.59,3.28,-1.19,3.83,115.81,-18.14,5.75,416.2,75753.0
"{'date': '2019-11-05', 'time': '22:54:00'}",-1.44,3.25,-1.48,3.85,113.89,-22.64,3.73,395.8,34028.0
"{'date': '2019-11-05', 'time': '22:55:00'}",-1.28,2.92,-1.62,3.57,113.64,-26.89,5.69,427.2,95328.0
"{'date': '2019-11-05', 'time': '22:56:00'}",-1.02,3.21,-0.87,3.48,107.56,-14.45,4.38,414.7,59532.0
"{'date': '2019-11-05', 'time': '22:57:00'}",-1.54,2.32,-1.6,3.22,123.63,-29.9,2.79,401.9,34255.0
"{'date': '2019-11-05', 'time': '22:58:00'}",-1.65,0.0,-3.33,3.72,179.98,-63.63,4.65,415.2,63056.0
"{'date': '2019-11-05', 'time': '22:59:00'}",-1.28,0.0,-3.12,3.37,180.04,-67.71,5.96,419.7,74857.0
"{'date': '2019-11-05', 'time': '23:00:00'}",-1.33,-0.03,-3.22,3.48,181.29,-67.55,5.44,416.4,63837.0
"{'date': '2019-11-05', 'time': '23:01:00'}",-1.45,0.05,-3.61,3.89,178.07,-68.08,5.37,417.6,57993.0
"{'date': '2019-11-05', 'time': '23:02:00'}",-1.3,0.03,-3.65,3.88,178.66,-70.44,5.95,422.1,64890.0
"{'date': '2019-11-05', 'time': '23:03:00'}",-1.07,-0.02,-3.6,3.75,181.31,-73.47,4.63,413.8,51557.0
"{'date': '2019-11-05', 'time': '23:04:00'}",-1.7,0.1,-3.45,3.85,176.6,-63.7,5.02,414.4,54421.0
"{'date': '2019-11-05', 'time': '23:05:00'}",-0.78,0.4,-3.48,3.59,153.01,-75.78,5.8,419.4,64330.0
"{'date': '2019-11-05', 'time': '23:06:00'}",-2.1,1.01,-3.0,3.8,154.33,-52.1,4.2,412.0,50768.0
"{'date': '2019-11-05', 'time': '23:07:00'}",-2.31,1.31,-2.57,3.7,150.5,-44.09,4.33,410.9,53165.0
"{'date': '2019-11-05', 'time': '23:08:00'}",-2.63,1.37,-2.69,4.0,152.55,-42.18,6.27,418.1,75444.0
"{'date': '2019-11-05', 'time': '23:09:00'}",-2.4,1.12,-2.93,3.95,154.98,-47.84,5.18,413.6,64677.0
"{'date': '2019-11-05', 'time': '23:10:00'}",-2.21,1.16,-2.92,3.84,152.36,-49.41,4.74,410.2,62016.0
"{'date': '2019-11-05', 'time': '23:11:00'}",-2.08,1.09,-3.09,3.88,152.28,-52.78,2.01,394.3,35203.0
"{'date': '2019-11-05', 'time': '23:12:00'}",-2.02,0.92,-3.14,3.84,155.56,-54.81,5.83,419.3,73439.0
"{'date': '2019-11-05', 'time': '23:13:00'}",-2.23,1.2,-2.94,3.88,151.82,-49.28,5.87,420.4,77585.0
"{'date': '2019-11-05', 'time': '23:14:00'}",-2.61,1.44,-2.63,3.97,151.14,-41.43,2.19,390.7,26277.0
"{'date': '2019-11-05', 'time': '23:15:00'}",-2.6,1.52,-2.65,4.01,149.63,-41.33,5.26,418.1,91530.0
"{'date': '2019-11-05', 'time': '23:16:00'}",-2.67,0.87,-2.68,3.88,161.84,-43.68,4.84,413.7,74137.0
"{'date': '2019-11-05', 'time': '23:17:00'}",-2.15,1.45,-2.43,3.55,146.04,-43.22,2.7,394.7,38253.0
"{'date': '2019-11-05', 'time': '23:18:00'}",0.03,3.49,-0.99,3.63,89.58,-15.85,3.54,410.8,52668.0
"{'date': '2019-11-05', 'time': '23:19:00'}",-0.02,3.61,-1.07,3.77,90.32,-16.5,4.96,427.3,72868.0
"{'date': '2019-11-05', 'time': '23:20:00'}",0.04,3.54,-1.1,3.71,89.31,-17.22,5.34,429.7,76949.0
"{'date': '2019-11-05', 'time': '23:21:00'}",0.15,3.31,-1.53,3.65,87.44,-24.86,4.23,389.2,23950.0
"{'date': '2019-11-05', 'time': '23:22:00'}",0.52,2.9,-2.18,3.67,79.75,-36.52,4.52,406.5,48732.0
"{'date': '2019-11-05', 'time': '23:23:00'}",0.4,3.27,-1.67,3.69,82.97,-26.86,4.75,426.5,75323.0
"{'date': '2019-11-05', 'time': '23:24:00'}",0.01,3.35,-1.35,3.61,89.82,-22.0,4.39,410.7,52001.0
"{'date': '2019-11-05', 'time': '23:25:00'}",0.24,3.06,-1.66,3.49,85.57,-28.35,5.51,432.9,94682.0
"{'date': '2019-11-05', 'time': '23:26:00'}",0.17,3.2,-1.55,3.55,86.91,-25.77,5.74,423.3,65114.0
"{'date': '2019-11-05', 'time': '23:27:00'}",-0.03,3.37,-1.44,3.66,90.56,-23.15,2.89,398.8,24995.0
"{'date': '2019-11-05', 'time': '23:28:00'}",-0.16,3.18,-1.81,3.66,92.93,-29.7,5.32,429.2,76046.0
"{'date': '2019-11-05', 'time': '23:29:00'}",0.27,3.19,-1.89,3.72,85.22,-30.58,5.64,427.1,74225.0
"{'date': '2019-11-05', 'time': '23:30:00'}",0.25,3.27,-1.73,3.71,85.65,-27.85,3.24,406.0,32517.0
"{'date': '2019-11-05', 'time': '23:31:00'}",0.18,3.41,-1.52,3.74,87.05,-24.08,4.76,424.1,69616.0
"{'date': '2019-11-05', 'time': '23:32:00'}",-0.24,3.55,-1.24,3.76,93.85,-19.17,4.37,419.5,60167.0
"{'date': '2019-11-05', 'time': '23:33:00'}",-0.38,3.62,-1.12,3.81,95.97,-17.06,3.51,410.5,46377.0
"{'date': '2019-11-05', 'time': '23:34:00'}",0.22,3.31,-1.55,3.66,86.28,-25.11,4.25,417.5,62311.0
"{'date': '2019-11-05', 'time': '23:35:00'}",0.08,3.27,-1.61,3.64,88.58,-26.24,5.65,425.2,73657.0
"{'date': '2019-11-05', 'time': '23:36:00'}",0.2,3.44,-1.17,3.64,86.69,-18.77,5.42,422.3,62646.0
"{'date': '2019-11-05', 'time': '23:37:00'}",0.38,3.43,-0.73,3.53,83.67,-11.86,4.39,416.6,50821.0
"{'date': '2019-11-05', 'time': '23:38:00'}",0.73,3.32,-0.58,3.45,77.61,-9.73,4.74,418.6,58655.0
"{'date': '2019-11-05', 'time': '23:39:00'}",0.71,3.33,-1.11,3.58,77.92,-18.06,5.19,421.4,67667.0
"{'date': '2019-11-05', 'time': '23:40:00'}",0.84,3.29,-0.95,3.52,75.65,-15.6,3.78,412.7,49648.0
"{'date': '2019-11-05', 'time': '23:41:00'}",0.85,3.29,-1.08,3.56,75.49,-17.61,3.58,410.0,42396.0
"{'date': '2019-11-05', 'time': '23:42:00'}",0.22,3.24,-1.61,3.62,86.12,-26.38,4.93,420.5,61040.0
"{'date': '2019-11-05', 'time': '23:43:00'}",0.26,3.06,-1.84,3.58,85.06,-30.92,4.78,419.2,58412.0
"{'date': '2019-11-05', 'time': '23:44:00'}",0.19,3.04,-1.77,3.52,86.34,-30.22,3.55,409.0,39958.0
"{'date': '2019-11-05', 'time': '23:45:00'}",0.41,3.08,-1.62,3.5,82.45,-27.57,5.65,424.6,70649.0
"{'date': '2019-11-05', 'time': '23:46:00'}",0.07,2.94,-2.0,3.56,88.59,-34.19,6.2,425.6,70844.0
"{'date': '2019-11-05', 'time': '23:47:00'}",-0.11,3.01,-1.86,3.54,92.07,-31.73,2.87,395.4,25536.0
"{'date': '2019-11-05', 'time': '23:48:00'}",-0.2,2.98,-1.81,3.49,93.9,-31.28,5.19,423.3,76709.0
"{'date': '2019-11-05', 'time': '23:49:00'}",0.1,2.9,-2.0,3.53,88.06,-34.6,5.03,420.3,58390.0
"{'date': '2019-11-05', 'time': '23:50:00'}",0.37,2.64,-2.36,3.56,82.06,-41.55,4.39,409.9,39187.0
"{'date': '2019-11-05', 'time': '23:51:00'}",1.05,0.97,-2.74,3.09,42.82,-62.48,4.9,419.1,57573.0
"{'date': '2019-11-05', 'time': '23:52:00'}",0.92,2.26,-2.27,3.33,67.87,-42.95,4.82,423.5,65123.0
"{'date': '2019-11-05', 'time': '23:53:00'}",1.31,2.31,-1.31,2.96,60.36,-26.26,4.26,418.8,57065.0
"{'date': '2019-11-05', 'time': '23:54:00'}",0.76,2.63,-1.44,3.09,73.79,-27.71,5.86,424.6,70956.0
"{'date': '2019-11-05', 'time': '23:55:00'}",0.76,2.86,-1.87,3.5,75.05,-32.34,5.72,424.4,68128.0
"{'date': '2019-11-05', 'time': '23:56:00'}",0.87,2.82,-1.85,3.48,72.87,-32.0,4.72,416.1,51319.0
"{'date': '2019-11-05', 'time': '23:57:00'}",1.14,2.94,-1.76,3.61,68.71,-29.14,2.97,396.7,27414.0
"{'date': '2019-11-05', 'time': '23:58:00'}",1.07,3.13,-1.82,3.78,71.2,-28.83,5.44,429.5,75264.0
"{'date': '2019-11-05', 'time': '23:59:00'}",0.93,3.23,-1.76,3.8,73.92,-27.67,5.14,422.5,70362.0
"{'date': '2019-11-06', 'time': '00:00:00'}",1.07,3.1,-1.74,3.71,70.89,-27.93,3.01,392.0,20989.0
"{'date': '2019-11-06', 'time': '00:01:00'}",1.13,3.07,-1.87,3.77,69.72,-29.71,4.89,430.6,93389.0
"{'date': '2019-11-06', 'time': '00:02:00'}",1.13,3.09,-1.97,3.84,69.93,-30.92,4.7,421.1,63339.0
"{'date': '2019-11-06', 'time': '00:03:00'}",1.16,2.66,-2.24,3.66,66.39,-37.65,4.09,413.0,49305.0
"{'date': '2019-11-06', 'time': '00:04:00'}",1.22,2.55,-2.31,3.65,64.48,-39.23,4.64,418.6,55771.0
"{'date': '2019-11-06', 'time': '00:05:00'}",1.12,2.48,-2.39,3.63,65.71,-41.25,5.55,423.7,67170.0
"{'date': '2019-11-06', 'time': '00:06:00'}",1.08,2.58,-2.27,3.6,67.21,-39.05,4.21,415.3,54236.0
"{'date': '2019-11-06', 'time': '00:07:00'}",1.29,2.5,-2.28,3.62,62.6,-39.06,4.18,415.3,53808.0
"{'date': '2019-11-06', 'time': '00:08:00'}",1.41,2.29,-2.3,3.53,58.4,-40.54,4.58,418.7,60825.0
"{'date': '2019-11-06', 'time': '00:09:00'}",1.35,2.53,-2.2,3.62,61.89,-37.41,3.75,414.2,52108.0
"{'date': '2019-11-06', 'time': '00:10:00'}",1.44,2.48,-2.2,3.62,59.83,-37.51,3.7,414.1,48035.0
"{'date': '2019-11-06', 'time': '00:11:00'}",1.54,1.99,-2.56,3.59,52.19,-45.46,4.76,421.8,60411.0
"{'date': '2019-11-06', 'time': '00:12:00'}",1.55,1.69,-2.57,3.44,47.45,-48.21,4.66,420.0,59709.0
"{'date': '2019-11-06', 'time': '00:13:00'}",1.28,1.97,-2.53,3.45,56.94,-47.15,4.48,417.2,53591.0
"{'date': '2019-11-06', 'time': '00:14:00'}",1.12,2.09,-2.48,3.43,61.87,-46.34,3.46,406.6,33465.0
"{'date': '2019-11-06', 'time': '00:15:00'}",0.08,2.36,-1.91,3.04,88.01,-38.95,5.41,430.5,81025.0
"{'date': '2019-11-06', 'time': '00:16:00'}",-1.43,2.49,-1.24,3.13,119.82,-23.43,6.59,419.0,92919.0
"{'date': '2019-11-06', 'time': '00:17:00'}",-1.5,2.39,-1.12,3.04,122.16,-21.7,1.76,384.8,29767.0
"{'date': '2019-11-06', 'time': '00:18:00'}",-1.85,2.25,-1.04,3.09,129.42,-19.71,4.45,409.0,84682.0
"{'date': '2019-11-06', 'time': '00:19:00'}",-1.95,2.22,-0.97,3.12,131.28,-18.22,4.61,410.4,82779.0
"{'date': '2019-11-06', 'time': '00:20:00'}",-2.07,2.25,-0.85,3.17,132.72,-15.56,4.15,394.7,46224.0
"{'date': '2019-11-06', 'time': '00:21:00'}",-2.06,2.22,-0.72,3.12,132.86,-13.28,4.97,413.7,94643.0
"{'date': '2019-11-06', 'time': '00:22:00'}",-1.94,2.5,-0.83,3.27,127.77,-14.73,5.39,419.1,98981.0
"{'date': '2019-11-06', 'time': '00:23:00'}",-1.89,2.47,-0.92,3.25,127.43,-16.46,3.99,405.2,61829.0
"{'date': '2019-11-06', 'time': '00:24:00'}",-1.47,2.43,-1.3,3.13,121.22,-24.56,3.88,403.2,53885.0
"{'date': '2019-11-06', 'time': '00:25:00'}",-1.35,2.64,-1.29,3.23,117.13,-23.53,4.87,412.0,67311.0
"{'date': '2019-11-06', 'time': '00:26:00'}",-1.46,2.71,-1.29,3.33,118.33,-22.77,4.89,415.0,70242.0
"{'date': '2019-11-06', 'time': '00:27:00'}",-1.63,2.69,-1.28,3.4,121.17,-22.06,3.83,387.7,25968.0
"{'date': '2019-11-06', 'time': '00:28:00'}",-2.04,2.7,-1.3,3.62,127.06,-21.05,4.04,393.4,35181.0
"{'date': '2019-11-06', 'time': '00:29:00'}",-2.04,2.84,-0.9,3.61,125.65,-14.4,4.71,411.4,63870.0
"{'date': '2019-11-06', 'time': '00:30:00'}",-2.4,2.47,-0.68,3.51,134.1,-11.18,4.73,409.3,59779.0
"{'date': '2019-11-06', 'time': '00:31:00'}",-2.55,2.36,-0.58,3.52,137.17,-9.48,5.77,419.1,93641.0
"{'date': '2019-11-06', 'time': '00:32:00'}",-2.67,2.33,-0.46,3.57,138.93,-7.44,5.23,412.4,76669.0
"{'date': '2019-11-06', 'time': '00:33:00'}",-2.65,2.47,-0.64,3.67,136.98,-10.05,4.39,411.7,75618.0
"{'date': '2019-11-06', 'time': '00:34:00'}",-2.31,2.92,-1.16,3.9,128.41,-17.25,4.99,420.5,82724.0
"{'date': '2019-11-06', 'time': '00:35:00'}",-2.74,2.81,-0.85,4.02,134.19,-12.28,5.6,424.8,80651.0
"{'date': '2019-11-06', 'time': '00:36:00'}",-2.79,2.86,-0.55,4.03,134.31,-7.78,4.92,418.6,71206.0
"{'date': '2019-11-06', 'time': '00:37:00'}",-2.54,3.08,-0.4,4.01,129.56,-5.76,4.49,417.0,68015.0
"{'date': '2019-11-06', 'time': '00:38:00'}",-2.95,2.17,-0.45,3.69,143.73,-7.07,4.39,417.9,64670.0
"{'date': '2019-11-06', 'time': '00:39:00'}",-3.44,1.14,-0.47,3.65,161.72,-7.43,4.42,415.8,72342.0
"{'date': '2019-11-06', 'time': '00:40:00'}",-3.43,1.31,-0.38,3.69,159.11,-5.93,3.36,400.9,53523.0
"{'date': '2019-11-06', 'time': '00:41:00'}",-3.6,0.98,-0.18,3.74,164.84,-2.79,3.28,399.0,53782.0
"{'date': '2019-11-06', 'time': '00:42:00'}",-3.14,1.87,0.04,3.66,149.17,0.6,4.59,412.8,86294.0
"{'date': '2019-11-06', 'time': '00:43:00'}",-3.4,1.41,0.16,3.69,157.44,2.46,4.13,406.9,72707.0
"{'date': '2019-11-06', 'time': '00:44:00'}",-2.68,2.75,-0.38,3.86,134.21,-5.61,3.49,401.1,51485.0
"{'date': '2019-11-06', 'time': '00:45:00'}",-2.38,2.9,-0.61,3.8,129.45,-9.24,4.6,415.6,60273.0
"{'date': '2019-11-06', 'time': '00:46:00'}",-2.79,2.6,-0.3,3.83,137.08,-4.43,4.3,413.5,59036.0
"{'date': '2019-11-06', 'time': '00:47:00'}",-3.25,2.35,0.01,4.01,144.12,0.08,4.89,410.8,57377.0
"{'date': '2019-11-06', 'time': '00:48:00'}",-3.27,2.31,0.14,4.0,144.74,2.04,4.9,419.9,87986.0
"{'date': '2019-11-06', 'time': '00:49:00'}",-3.37,2.11,0.02,3.98,148.03,0.25,5.25,416.3,91022.0
"{'date': '2019-11-06', 'time': '00:50:00'}",-3.42,2.1,-0.04,4.02,148.53,-0.56,2.51,398.3,37888.0
"{'date': '2019-11-06', 'time': '00:51:00'}",-3.51,2.16,-0.14,4.12,148.41,-1.94,4.5,414.6,82823.0
"{'date': '2019-11-06', 'time': '00:52:00'}",-3.45,2.16,-0.61,4.12,147.88,-8.48,4.83,418.7,88702.0
"{'date': '2019-11-06', 'time': '00:53:00'}",-3.52,2.13,-0.04,4.12,148.89,-0.57,3.22,400.2,46596.0
"{'date': '2019-11-06', 'time': '00:54:00'}",-3.5,2.11,0.06,4.09,148.98,0.81,3.94,411.1,71092.0
"{'date': '2019-11-06', 'time': '00:55:00'}",-3.5,2.17,-0.1,4.12,148.17,-1.35,4.57,417.6,83696.0
"{'date': '2019-11-06', 'time': '00:56:00'}",-3.46,2.34,0.1,4.17,145.97,1.38,3.89,409.5,63351.0
"{'date': '2019-11-06', 'time': '00:57:00'}",-3.42,2.47,0.11,4.22,144.17,1.49,4.05,411.2,68430.0
"{'date': '2019-11-06', 'time': '00:58:00'}",-3.64,2.19,0.08,4.25,148.91,1.03,4.99,419.7,89271.0
"{'date': '2019-11-06', 'time': '00:59:00'}",-3.5,2.25,0.08,4.16,147.27,1.04,4.99,419.7,88050.0
"{'date': '2019-11-06', 'time': '01:00:00'}",-3.73,2.04,0.21,4.25,151.36,2.86,4.26,410.7,71959.0
"{'date': '2019-11-06', 'time': '01:01:00'}",-3.68,1.8,0.35,4.11,153.96,4.87,4.28,411.4,73152.0
"{'date': '2019-11-06', 'time': '01:02:00'}",-3.68,1.66,0.44,4.06,155.68,6.2,4.19,413.2,75609.0
"{'date': '2019-11-06', 'time': '01:03:00'}",-3.65,1.8,0.37,4.09,153.74,5.15,2.75,399.2,45723.0
"{'date': '2019-11-06', 'time': '01:04:00'}",-3.44,2.16,0.21,4.07,147.85,2.98,5.13,419.3,95186.0
"{'date': '2019-11-06', 'time': '01:05:00'}",-3.3,2.02,0.36,3.89,148.6,5.36,4.53,411.9,67574.0
"{'date': '2019-11-06', 'time': '01:06:00'}",-3.66,0.86,0.81,3.84,166.73,12.1,4.04,409.1,67249.0
"{'date': '2019-11-06', 'time': '01:07:00'}",-3.7,0.34,0.99,3.85,174.68,14.9,3.82,405.8,63262.0
"{'date': '2019-11-06', 'time': '01:08:00'}",-3.71,0.65,1.0,3.9,170.0,14.8,4.24,410.2,74833.0
"{'date': '2019-11-06', 'time': '01:09:00'}",-3.64,0.59,1.2,3.88,170.84,18.02,4.19,408.7,69324.0
"{'date': '2019-11-06', 'time': '01:10:00'}",-3.69,0.75,1.05,3.91,168.59,15.55,3.7,406.9,62788.0
"{'date': '2019-11-06', 'time': '01:11:00'}",-3.77,0.96,0.86,3.99,165.77,12.39,3.97,408.9,65623.0
"{'date': '2019-11-06', 'time': '01:12:00'}",-3.74,1.16,1.11,4.07,162.77,15.87,4.24,411.2,70854.0
"{'date': '2019-11-06', 'time': '01:13:00'}",-3.76,1.21,1.02,4.07,162.21,14.47,3.13,401.8,54230.0
"{'date': '2019-11-06', 'time': '01:14:00'}",-3.78,1.18,0.73,4.03,162.68,10.46,2.81,398.6,48418.0
"{'date': '2019-11-06', 'time': '01:15:00'}",-3.74,1.18,0.39,3.94,162.49,5.62,4.46,413.0,77047.0
"{'date': '2019-11-06', 'time': '01:16:00'}",-3.86,0.68,0.16,3.93,169.99,2.37,4.39,407.0,69693.0
"{'date': '2019-11-06', 'time': '01:17:00'}",-3.64,1.34,0.63,3.93,159.82,9.22,4.53,407.4,72529.0
"{'date': '2019-11-06', 'time': '01:18:00'}",-3.79,1.41,0.71,4.11,159.57,9.89,4.96,415.7,83802.0
"{'date': '2019-11-06', 'time': '01:19:00'}",-3.74,1.53,0.54,4.08,157.7,7.65,4.64,415.0,84815.0
"{'date': '2019-11-06', 'time': '01:20:00'}",-3.79,1.42,0.59,4.09,159.4,8.3,2.06,382.3,19169.0
"{'date': '2019-11-06', 'time': '01:21:00'}",-3.69,1.25,0.63,3.95,161.26,9.2,3.74,406.0,60134.0
"{'date': '2019-11-06', 'time': '01:22:00'}",-3.84,0.75,1.12,4.07,168.98,15.96,4.84,412.0,81036.0
"{'date': '2019-11-06', 'time': '01:23:00'}",-3.8,0.85,1.14,4.06,167.32,16.3,2.75,392.5,38034.0
"{'date': '2019-11-06', 'time': '01:24:00'}",-3.73,0.98,1.11,4.01,165.31,16.0,4.53,411.4,88681.0
"{'date': '2019-11-06', 'time': '01:25:00'}",-3.73,0.9,1.17,4.01,166.42,16.98,5.07,415.7,90482.0
"{'date': '2019-11-06', 'time': '01:26:00'}",-3.71,0.89,1.16,3.99,166.46,16.94,3.22,396.6,47532.0
"{'date': '2019-11-06', 'time': '01:27:00'}",-3.77,0.81,1.08,4.01,167.88,15.63,3.48,401.8,62908.0
"{'date': '2019-11-06', 'time': '01:28:00'}",-3.82,0.54,1.08,4.01,172.01,15.63,4.81,412.4,84664.0
"{'date': '2019-11-06', 'time': '01:29:00'}",-3.82,0.38,1.07,3.98,174.29,15.61,4.07,402.6,58704.0
"{'date': '2019-11-06', 'time': '01:30:00'}",-3.83,0.41,1.14,4.02,173.85,16.51,3.49,398.6,49716.0
"{'date': '2019-11-06', 'time': '01:31:00'}",-3.85,0.32,1.11,4.02,175.25,16.01,5.01,411.2,79324.0
"{'date': '2019-11-06', 'time': '01:32:00'}",-3.85,0.23,1.16,4.03,176.54,16.81,5.17,412.3,78969.0
"{'date': '2019-11-06', 'time': '01:33:00'}",-3.85,0.27,1.02,3.99,175.96,14.73,2.1,380.2,16604.0
"{'date': '2019-11-06', 'time': '01:34:00'}",-3.85,0.16,0.86,3.94,177.59,12.56,2.42,383.9,25613.0
"{'date': '2019-11-06', 'time': '01:35:00'}",-3.62,-0.02,0.74,3.69,180.28,11.56,5.25,416.5,106169.0
"{'date': '2019-11-06', 'time': '01:36:00'}",-3.65,0.03,0.62,3.7,179.51,9.69,5.45,406.2,90822.0
"{'date': '2019-11-06', 'time': '01:37:00'}",-3.65,0.18,0.55,3.7,177.13,8.6,4.16,399.3,66844.0
"{'date': '2019-11-06', 'time': '01:38:00'}",-3.7,0.31,0.71,3.78,175.16,10.87,4.72,400.2,69525.0
"{'date': '2019-11-06', 'time': '01:39:00'}",-3.6,0.4,0.78,3.71,173.71,12.2,4.1,396.5,62244.0
"{'date': '2019-11-06', 'time': '01:40:00'}",-3.78,0.78,0.93,3.97,168.32,13.51,3.96,396.2,54965.0
"{'date': '2019-11-06', 'time': '01:41:00'}",-4.1,1.07,1.16,4.39,165.35,15.36,4.17,402.9,59913.0
"{'date': '2019-11-06', 'time': '01:42:00'}",-4.1,1.16,0.95,4.36,164.24,12.52,4.52,405.6,63564.0
"{'date': '2019-11-06', 'time': '01:43:00'}",-4.08,1.08,1.19,4.39,165.13,15.79,3.6,398.1,50261.0
"{'date': '2019-11-06', 'time': '01:44:00'}",-4.06,1.16,1.15,4.38,164.04,15.27,3.92,401.0,60802.0
"{'date': '2019-11-06', 'time': '01:45:00'}",-4.11,1.25,1.02,4.42,163.15,13.3,4.45,406.5,71105.0
"{'date': '2019-11-06', 'time': '01:46:00'}",-4.05,1.07,1.13,4.34,165.17,15.09,3.75,397.1,47008.0
"{'date': '2019-11-06', 'time': '01:47:00'}",-4.11,1.01,1.12,4.38,166.24,14.77,4.31,397.5,51810.0
"{'date': '2019-11-06', 'time': '01:48:00'}",-4.1,1.11,1.06,4.38,164.91,14.06,5.25,417.9,97247.0
"{'date': '2019-11-06', 'time': '01:49:00'}",-4.05,1.2,1.05,4.35,163.51,14.04,4.8,407.6,68633.0
"{'date': '2019-11-06', 'time': '01:50:00'}",-4.02,1.26,0.87,4.31,162.65,11.72,2.51,389.6,33216.0
"{'date': '2019-11-06', 'time': '01:51:00'}",-3.86,1.33,0.58,4.13,160.94,8.14,5.08,410.0,86816.0
"{'date': '2019-11-06', 'time': '01:52:00'}",-3.79,1.48,0.59,4.11,158.66,8.29,5.42,409.2,85442.0
"{'date': '2019-11-06', 'time': '01:53:00'}",-3.77,1.48,0.48,4.08,158.62,6.78,4.72,399.9,68518.0
