id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '01:24:00'}",-5.27,-1.04,0.66,5.41,191.13,6.98,3.51,387.1,118161.0
"{'date': '2019-11-05', 'time': '01:25:00'}",-5.3,-0.9,0.79,5.44,189.64,8.35,3.53,386.7,113029.0
"{'date': '2019-11-05', 'time': '01:26:00'}",-5.25,-0.82,1.13,5.43,188.83,12.01,3.31,385.4,104856.0
"{'date': '2019-11-05', 'time': '01:27:00'}",-5.19,-0.89,1.01,5.36,189.79,10.84,3.37,385.9,107531.0
"{'date': '2019-11-05', 'time': '01:28:00'}",-5.18,-1.02,0.93,5.36,191.19,10.0,3.21,384.8,102479.0
"{'date': '2019-11-05', 'time': '01:29:00'}",-5.22,-0.82,1.09,5.39,188.98,11.7,3.18,384.2,97814.0
"{'date': '2019-11-05', 'time': '01:30:00'}",-5.25,-1.01,0.95,5.43,190.85,10.08,3.5,384.7,104405.0
"{'date': '2019-11-05', 'time': '01:31:00'}",-5.3,-1.22,0.9,5.51,192.91,9.38,3.47,383.2,104420.0
"{'date': '2019-11-05', 'time': '01:32:00'}",-5.19,-1.35,0.83,5.43,194.63,8.75,3.46,385.4,96291.0
"{'date': '2019-11-05', 'time': '01:33:00'}",-5.19,-1.3,0.77,5.41,194.04,8.24,3.03,379.9,80571.0
"{'date': '2019-11-05', 'time': '01:34:00'}",-5.27,-1.03,0.81,5.44,191.03,8.59,3.38,367.7,39584.0
"{'date': '2019-11-05', 'time': '01:35:00'}",-5.27,-1.18,0.78,5.46,192.59,8.25,3.08,384.4,96045.0
"{'date': '2019-11-05', 'time': '01:36:00'}",-5.24,-1.2,0.76,5.43,192.9,8.09,3.98,392.6,145461.0
"{'date': '2019-11-05', 'time': '01:37:00'}",-5.28,-1.35,0.57,5.48,194.31,5.97,2.65,371.3,78287.0
"{'date': '2019-11-05', 'time': '01:38:00'}",-5.29,-1.18,0.73,5.47,192.62,7.64,3.47,383.6,124448.0
"{'date': '2019-11-05', 'time': '01:39:00'}",-5.32,-0.99,0.81,5.47,190.54,8.52,3.38,389.4,121608.0
"{'date': '2019-11-05', 'time': '01:40:00'}",-5.35,-1.16,0.6,5.51,192.19,6.21,2.47,375.8,68096.0
"{'date': '2019-11-05', 'time': '01:41:00'}",-5.34,-0.96,0.59,5.46,190.2,6.21,2.95,387.5,117947.0
"{'date': '2019-11-05', 'time': '01:42:00'}",-5.24,-1.02,0.34,5.35,191.02,3.69,3.2,389.5,112373.0
"{'date': '2019-11-05', 'time': '01:43:00'}",-5.23,-0.96,0.46,5.33,190.44,4.96,2.78,379.5,78304.0
"{'date': '2019-11-05', 'time': '01:44:00'}",-5.3,-0.93,0.63,5.42,189.97,6.65,3.08,384.3,102076.0
"{'date': '2019-11-05', 'time': '01:45:00'}",-5.2,-0.94,0.62,5.32,190.25,6.71,3.46,391.6,124533.0
"{'date': '2019-11-05', 'time': '01:46:00'}",-5.03,-0.79,0.16,5.1,188.87,1.85,2.89,387.4,111603.0
